,name,artists:name,id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,People Watching,Conan Gray,4JeOesjcWWlprTAvucDSJX,158536,0.53,0.593,5,-7.286,1,0.0545,0.385,0.0,0.314,0.538,125.723,4
1,Purple,Hollow Coves,7bwqzQSHl3GE0qA4owWOzG,265962,0.591,0.676,7,-7.47,1,0.0256,0.13,0.0796,0.09,0.369,107.999,4
2,Summerland,half•alive,0dN3cttUifpkm1Oja79zJr,229659,0.713,0.804,2,-4.971,1,0.15,0.258,0.0,0.346,0.703,103.881,4
3,Eleanor Rigby,Cody Fry,62P3CMQAknHW4iftsBD41Y,280480,0.316,0.229,4,-10.821,0,0.0311,0.697,0.00211,0.128,0.209,130.447,4
4,avalanche,Christian French,1RlmAzI27AlIpvoRN3u6Iy,199512,0.636,0.864,11,-3.919,1,0.0491,0.0314,0.0,0.102,0.892,160.009,4
5,"Oh, Calamity!",All Time Low,40t2E0HHaaUTp0dolN4dNp,226328,0.524,0.895,7,-4.625,0,0.0423,0.00835,0.0,0.0879,0.557,157.053,4
6,Strawberry Sunscreen,Lostboycrow,6uIt9AyMilUMqhjcsDJbyM,129000,0.688,0.678,8,-3.903,1,0.0348,0.0359,0.0,0.0331,0.909,120.058,4
7,Just Fucking Let Me Love You,Lowen,5ld2XV6cdQDmcvJ7m5TtvY,218461,0.691,0.315,0,-7.216,1,0.0448,0.422,0.0,0.0869,0.45,130.171,4
8,Knock Me Off My Feet,SOAK,3adNtom9Dn2NXmgHf0OwZR,187185,0.645,0.876,9,-5.116,1,0.0544,0.0851,0.00209,0.335,0.933,137.991,4
9,science fiction,Smallpools,60vJTXpQmdca1hVaxmuoZ2,185590,0.37,0.881,11,-4.159,1,0.148,0.053,0.000352,0.0684,0.549,86.78,4
10,Ave Maria,The Early November,6JVkZH80VfDdz2b3UGu1jp,192200,0.584,0.77,0,-5.351,1,0.0281,0.115,0.000404,0.11,0.584,104.983,4
11,Perfect Color,SafetySuit,2uR9zr2YbupRkVZ48eeRVx,234560,0.502,0.902,0,-3.166,1,0.0674,0.037,9.08e-05,0.532,0.359,137.899,4
12,Lonely,"TWIN XL, Little Hurt, Rad Horror",6BbppaUSgyw6fTdTTANsVJ,166638,0.589,0.76,0,-5.01,1,0.0446,0.206,0.0,0.259,0.564,90.047,4
13,What You Do To Me,Blanks,0QuQCTJL4UXkDx111mXrbL,196868,0.503,0.809,3,-5.836,1,0.0648,0.141,0.0,0.145,0.659,170.034,4
14,Planets,Jonah Taylor,1LdFSHlq4UjofoDKnHAAm1,236562,0.699,0.565,7,-9.593,1,0.0388,0.173,1.5e-05,0.0971,0.335,95.994,4
15,Flesh & Blood (feat. Smallpools),"New Dialogue, Smallpools",6VtcTi8x3NeNQp4icvREQi,178965,0.677,0.737,4,-6.143,1,0.0623,0.525,0.0,0.139,0.783,115.954,4
16,Georgia,Lydia,5kNHtMn6zP6embphzImOtl,167000,0.533,0.891,4,-5.758,1,0.0419,0.00143,0.00025,0.12,0.489,86.015,4
17,Nicotine & Tangerines,Small Talks,3g3dDkZVs4Embhj6w2WAQT,175899,0.399,0.881,1,-6.383,0,0.0365,0.000517,0.306,0.0814,0.546,160.084,4
