,name,artists:name,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,241688,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4
1,Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",spotify:track:2V4bv1fNWfTcyRJKmej6Sj,213293,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,4
2,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",spotify:track:7KA4W4McWYRpgf0fWsJZWB,180386,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4
3,Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795,214147,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,4
4,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,218093,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,4
5,Hall of Fame (feat. will.i.am),"The Script, will.i.am",spotify:track:7wMq5n8mYSKlQIGECKUgTX,202533,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,4
6,Back Where I Belong (feat. Avicii),"Otto Knows, Avicii",spotify:track:78W8wiUIlQ2SnWY9TVowKZ,174202,0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,4
7,The Heart Wants What It Wants,Selena Gomez,spotify:track:2jcPoPin36hyNRSi4ZsqeB,227373,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,4
8,Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV,202613,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,4
9,Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm,224401,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,4
10,Danza Kuduro (feat. Don Omar),"Lucenzo, Don Omar",spotify:track:1kAZhbcsXqfUjnVeqPywn2,202346,0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051,4
11,Syypää sun hymyyn (feat. Yasmine Yamajako),"Cheek, Yasmine Yamajako",spotify:track:2N2QvMYwyYHE8V4KZbbG4i,230413,0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,4
12,Whistle,Flo Rida,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,225000,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,4
13,Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK,216600,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,4
14,Baby,"Justin Bieber, Ludacris",spotify:track:4NFhtFE68cXUrfbne8JE2c,216520,0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038,4
15,I Cry,Flo Rida,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,223800,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,4
16,Coconut Tree,"Mohombi, Nicole Scherzinger",spotify:track:5L9THbmMKB6ZlHlMgzaXHf,218373,0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029,4
17,One Less Lonely Girl,Justin Bieber,spotify:track:7qUcqYzOtfZe65bednDxmz,229106,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,4
18,Romeo ja Julia (feat. Sophie),"Pikku G, Sophie",spotify:track:0seHreoI3kwp38OlEgLLnT,236200,0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114,4
19,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",spotify:track:5DcPOPPUnNhyPYbTi2aWjR,212841,0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919,4
20,Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",spotify:track:3bidbhpOYeV4knp8AIu8Xn,258342,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,4
21,She Wolf (Falling to Pieces) [feat. Sia],"David Guetta, Sia",spotify:track:1HfPcQ3c2HyGeID3u1lmCa,222500,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,4
22,Radioactive,Imagine Dragons,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,186813,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,4
23,Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,224653,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,4
24,I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",spotify:track:05SBRd4fXgn8FX7bf8BCAE,234506,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,4
25,Timber (feat. Ke$ha),"Pitbull, Kesha",spotify:track:3cHyrEgdyYRjgJKSOiOtcS,204160,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,4
26,Scream & Shout,"will.i.am, Britney Spears",spotify:track:2iJuuzV8P9Yz0VSurttIV5,283400,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,4
